Iteration, Run_Time, Time_Elapsed, Sim_Time, Step_dt
0 3.62454 3.62456 2.71072e-05 2.71072e-05 
1 5.96904 2.34452 5.42144e-05 2.71072e-05 
2 8.20583 2.23681 8.13216e-05 2.71072e-05 
3 10.4326 2.22679 0.000108429 2.71072e-05 
4 12.8188 2.38621 0.000135536 2.71072e-05 
5 15.1629 2.34411 0.000162643 2.71072e-05 
6 17.6145 2.45161 0.00018975 2.71072e-05 
7 19.9102 2.29577 0.000216858 2.71072e-05 
8 22.3228 2.41258 0.000243965 2.71072e-05 
9 24.6833 2.36057 0.000271072 2.71072e-05 
10 26.9513 2.26796 0.000298179 2.71072e-05 
11 29.5975 2.64629 0.000325287 2.71072e-05 
12 31.9347 2.3372 0.000352394 2.71072e-05 
13 34.3171 2.38246 0.000379501 2.71072e-05 
14 36.7302 2.41306 0.000406608 2.71072e-05 
15 39.133 2.40285 0.000433715 2.71072e-05 
16 41.5235 2.39055 0.000460823 2.71072e-05 
17 43.9677 2.44418 0.00048793 2.71072e-05 
18 46.5924 2.62474 0.000515037 2.71072e-05 
19 49.0224 2.42999 0.000542144 2.71072e-05 
20 51.3997 2.3773 0.000569251 2.71072e-05 
21 54.9441 3.54449 0.000596359 2.71072e-05 
22 58.0491 3.10504 0.000623466 2.71072e-05 
23 61.5889 3.53975 0.000650573 2.71072e-05 
24 64.6761 3.08727 0.00067768 2.71072e-05 
25 67.0149 2.33884 0.000704787 2.71072e-05 
26 69.3627 2.34781 0.000731895 2.71072e-05 
27 71.7207 2.35796 0.000759002 2.71072e-05 
28 74.1176 2.39697 0.000786109 2.71072e-05 
29 76.4191 2.30144 0.000813216 2.71072e-05 
30 78.8385 2.41944 0.000840324 2.71072e-05 
31 81.9661 3.12769 0.000867431 2.71072e-05 
32 85.7501 3.78394 0.000894538 2.71072e-05 
33 88.1604 2.4103 0.000921645 2.71072e-05 
34 90.507 2.34666 0.000948752 2.71072e-05 
35 92.9756 2.46865 0.00097586 2.71072e-05 
36 95.7414 2.76579 0.00100297 2.71072e-05 
37 98.1535 2.41211 0.00103007 2.71072e-05 
38 100.524 2.37093 0.00105718 2.71072e-05 
39 103.016 2.49147 0.00108429 2.71072e-05 
40 105.792 2.77667 0.0011114 2.71072e-05 
41 109.788 3.99577 0.0011385 2.71072e-05 
42 115.157 5.36893 0.00116561 2.71072e-05 
43 120.242 5.08494 0.00119272 2.71072e-05 
44 124.373 4.13132 0.00121982 2.71072e-05 
45 129.969 5.59553 0.00124693 2.71072e-05 
46 135.158 5.18892 0.00127404 2.71072e-05 
47 138.874 3.71656 0.00130115 2.71072e-05 
48 143.698 4.8235 0.00132825 2.71072e-05 
49 146.595 2.89681 0.00135536 2.71072e-05 
50 149.119 2.52406 0.00138247 2.71072e-05 
51 152.434 3.31576 0.00140957 2.71072e-05 
52 154.992 2.55821 0.00143668 2.71072e-05 
53 157.849 2.85651 0.00146379 2.71072e-05 
54 160.737 2.88824 0.0014909 2.71072e-05 
55 163.712 2.97524 0.001518 2.71072e-05 
56 166.373 2.66091 0.00154511 2.71072e-05 
57 168.795 2.42198 0.00157222 2.71072e-05 
58 171.336 2.54045 0.00159933 2.71072e-05 
59 173.722 2.38658 0.00162643 2.71072e-05 
60 176.038 2.31609 0.00165354 2.71072e-05 
61 178.313 2.27428 0.00168065 2.71072e-05 
62 181.674 3.36106 0.00170775 2.71072e-05 
63 184.195 2.52191 0.00173486 2.71072e-05 
64 186.566 2.37086 0.00176197 2.71072e-05 
65 189.135 2.56898 0.00178908 2.71072e-05 
66 191.645 2.50959 0.00181618 2.71072e-05 
67 194.119 2.47466 0.00184329 2.71072e-05 
68 197.64 3.52082 0.0018704 2.71072e-05 
69 200.474 2.83357 0.0018975 2.71072e-05 
70 202.861 2.38727 0.00192461 2.71072e-05 
71 205.608 2.74738 0.00195172 2.71072e-05 
72 207.967 2.3583 0.00197883 2.71072e-05 
73 210.497 2.52998 0.00200593 2.71072e-05 
74 212.852 2.35577 0.00203304 2.71072e-05 
75 215.183 2.33057 0.00206015 2.71072e-05 
76 217.519 2.33641 0.00208726 2.71072e-05 
77 219.872 2.35272 0.00211436 2.71072e-05 
78 222.258 2.38614 0.00214147 2.71072e-05 
79 224.73 2.47205 0.00216858 2.71072e-05 
80 227.113 2.38261 0.00219568 2.71072e-05 
81 229.447 2.3343 0.00222279 2.71072e-05 
82 231.811 2.3643 0.0022499 2.71072e-05 
83 234.37 2.5591 0.00227701 2.71072e-05 
84 236.97 2.59972 0.00230411 2.71072e-05 
85 239.296 2.32628 0.00233122 2.71072e-05 
86 242.154 2.85742 0.00235833 2.71072e-05 
87 244.584 2.43053 0.00238543 2.71072e-05 
88 246.912 2.32841 0.00241254 2.71072e-05 
89 249.248 2.33548 0.00243965 2.71072e-05 
90 251.617 2.36941 0.00246676 2.71072e-05 
91 254.311 2.69386 0.00249386 2.71072e-05 
92 256.75 2.43903 0.00252097 2.71072e-05 
93 259.363 2.61272 0.00254808 2.71072e-05 
94 261.707 2.34416 0.00257518 2.71072e-05 
95 264.283 2.57562 0.00260229 2.71072e-05 
96 266.699 2.41601 0.0026294 2.71072e-05 
97 269.021 2.32205 0.00265651 2.71072e-05 
98 271.283 2.26217 0.00268361 2.71072e-05 
99 273.735 2.45252 0.00271072 2.71072e-05 
100 276.673 2.93798 0.00273783 2.71072e-05 
101 278.972 2.2989 0.00276494 2.71072e-05 
102 281.334 2.3622 0.00279204 2.71072e-05 
103 283.732 2.39812 0.00281915 2.71072e-05 
104 286.63 2.89766 0.00284626 2.71072e-05 
105 289.257 2.627 0.00287336 2.71072e-05 
106 292.018 2.76113 0.00290047 2.71072e-05 
107 294.918 2.89968 0.00292758 2.71072e-05 
108 298.528 3.61026 0.00295469 2.71072e-05 
109 300.91 2.3816 0.00298179 2.71072e-05 
110 303.561 2.65177 0.0030089 2.71072e-05 
111 306.274 2.71323 0.00303601 2.71072e-05 
112 308.784 2.50929 0.00306311 2.71072e-05 
113 311.158 2.37385 0.00309022 2.71072e-05 
114 313.572 2.41438 0.00311733 2.71072e-05 
115 315.981 2.4093 0.00314444 2.71072e-05 
116 318.776 2.79518 0.00317154 2.71072e-05 
117 321.522 2.74601 0.00319865 2.71072e-05 
118 324.077 2.55472 0.00322576 2.71072e-05 
119 326.397 2.32024 0.00325287 2.71072e-05 
120 328.761 2.36377 0.00327997 2.71072e-05 
121 331.005 2.24424 0.00330708 2.71072e-05 
122 333.426 2.42129 0.00333419 2.71072e-05 
123 335.903 2.47679 0.00336129 2.71072e-05 
124 338.211 2.30805 0.0033884 2.71072e-05 
125 340.51 2.29828 0.00341551 2.71072e-05 
126 342.861 2.35121 0.00344262 2.71072e-05 
127 345.103 2.24179 0.00346972 2.71072e-05 
128 347.352 2.24972 0.00349683 2.71072e-05 
129 349.633 2.28049 0.00352394 2.71072e-05 
130 351.893 2.26051 0.00355104 2.71072e-05 
131 354.142 2.24865 0.00357815 2.71072e-05 
132 356.352 2.2098 0.00360526 2.71072e-05 
133 358.614 2.26281 0.00363237 2.71072e-05 
134 360.854 2.23943 0.00365947 2.71072e-05 
135 363.262 2.40814 0.00368658 2.71072e-05 
136 365.704 2.44252 0.00371369 2.71072e-05 
137 368.135 2.43053 0.0037408 2.71072e-05 
138 370.531 2.39575 0.0037679 2.71072e-05 
139 372.868 2.33761 0.00379501 2.71072e-05 
140 375.21 2.34159 0.00382212 2.71072e-05 
141 377.461 2.25094 0.00384922 2.71072e-05 
142 379.744 2.28296 0.00387633 2.71072e-05 
143 382.009 2.26503 0.00390344 2.71072e-05 
144 384.238 2.22964 0.00393055 2.71072e-05 
145 386.478 2.23983 0.00395765 2.71072e-05 
146 388.942 2.46395 0.00398476 2.71072e-05 
147 391.195 2.25272 0.00401187 2.71072e-05 
148 393.628 2.4338 0.00403897 2.71072e-05 
149 395.972 2.34353 0.00406608 2.71072e-05 
150 398.726 2.75392 0.00409319 2.71072e-05 
151 400.975 2.24941 0.0041203 2.71072e-05 
152 403.212 2.23658 0.0041474 2.71072e-05 
153 405.521 2.30927 0.00417451 2.71072e-05 
154 407.782 2.26065 0.00420162 2.71072e-05 
155 409.996 2.21438 0.00422872 2.71072e-05 
156 412.201 2.20491 0.00425583 2.71072e-05 
157 414.403 2.20201 0.00428294 2.71072e-05 
158 416.623 2.21967 0.00431005 2.71072e-05 
159 418.877 2.25473 0.00433715 2.71072e-05 
160 421.133 2.25537 0.00436426 2.71072e-05 
161 423.522 2.38917 0.00439137 2.71072e-05 
162 425.99 2.46776 0.00441848 2.71072e-05 
163 428.266 2.27685 0.00444558 2.71072e-05 
164 430.568 2.30177 0.00447269 2.71072e-05 
165 432.902 2.33362 0.0044998 2.71072e-05 
166 435.223 2.32099 0.0045269 2.71072e-05 
167 437.501 2.27838 0.00455401 2.71072e-05 
168 439.712 2.21052 0.00458112 2.71072e-05 
169 441.926 2.21418 0.00460823 2.71072e-05 
170 444.136 2.21067 0.00463533 2.71072e-05 
171 446.408 2.27121 0.00466244 2.71072e-05 
172 448.707 2.29966 0.00468955 2.71072e-05 
173 450.949 2.24181 0.00471665 2.71072e-05 
174 453.172 2.22342 0.00474376 2.71072e-05 
175 455.414 2.2421 0.00477087 2.71072e-05 
176 457.662 2.24733 0.00479798 2.71072e-05 
177 459.929 2.26772 0.00482508 2.71072e-05 
178 462.231 2.3012 0.00485219 2.71072e-05 
179 464.45 2.21934 0.0048793 2.71072e-05 
180 466.874 2.42415 0.00490641 2.71072e-05 
181 469.079 2.20466 0.00493351 2.71072e-05 
182 472.908 3.82912 0.00496062 2.71072e-05 
183 475.182 2.27411 0.00498773 2.71072e-05 
184 477.387 2.20525 0.00501483 2.71072e-05 
185 479.596 2.20897 0.00504194 2.71072e-05 
186 483.493 3.89662 0.00506905 2.71072e-05 
187 485.776 2.28386 0.00509616 2.71072e-05 
188 488.288 2.51158 0.00512326 2.71072e-05 
189 490.573 2.2854 0.00515037 2.71072e-05 
190 493.427 2.85341 0.00517748 2.71072e-05 
191 495.74 2.31275 0.00520458 2.71072e-05 
192 498.098 2.35835 0.00523169 2.71072e-05 
193 500.337 2.23938 0.0052588 2.71072e-05 
194 502.951 2.61378 0.00528591 2.71072e-05 
195 505.557 2.6058 0.00531301 2.71072e-05 
196 507.857 2.30069 0.00534012 2.71072e-05 
197 510.127 2.27 0.00536723 2.71072e-05 
198 512.366 2.2389 0.00539433 2.71072e-05 
199 514.654 2.28778 0.00542144 2.71072e-05 
200 517.708 3.05351 0.00544855 2.71072e-05 
201 520.019 2.31128 0.00547566 2.71072e-05 
202 522.311 2.29238 0.00550276 2.71072e-05 
203 524.556 2.24523 0.00552987 2.71072e-05 
204 527.059 2.50278 0.00555698 2.71072e-05 
205 529.377 2.31788 0.00558409 2.71072e-05 
206 531.701 2.32393 0.00561119 2.71072e-05 
207 534.278 2.5768 0.0056383 2.71072e-05 
208 536.516 2.23832 0.00566541 2.71072e-05 
209 539.022 2.50661 0.00569251 2.71072e-05 
210 541.542 2.51974 0.00571962 2.71072e-05 
211 546.362 4.81974 0.00574673 2.71072e-05 
212 550.426 4.06454 0.00577384 2.71072e-05 
213 552.857 2.43117 0.00580094 2.71072e-05 
214 555.337 2.47964 0.00582805 2.71072e-05 
215 557.681 2.34435 0.00585516 2.71072e-05 
216 559.981 2.29946 0.00588226 2.71072e-05 
217 562.622 2.64106 0.00590937 2.71072e-05 
218 565.459 2.83677 0.00593648 2.71072e-05 
219 568.135 2.67598 0.00596359 2.71072e-05 
220 570.461 2.32637 0.00599069 2.71072e-05 
221 572.805 2.34434 0.0060178 2.71072e-05 
222 575.184 2.37869 0.00604491 2.71072e-05 
223 577.399 2.21521 0.00607202 2.71072e-05 
224 579.651 2.2521 0.00609912 2.71072e-05 
225 581.859 2.20802 0.00612623 2.71072e-05 
226 584.762 2.90278 0.00615334 2.71072e-05 
227 587.639 2.87715 0.00618044 2.71072e-05 
228 590.354 2.71481 0.00620755 2.71072e-05 
229 592.619 2.26485 0.00623466 2.71072e-05 
230 594.892 2.27356 0.00626177 2.71072e-05 
231 597.317 2.42439 0.00628887 2.71072e-05 
232 599.606 2.28896 0.00631598 2.71072e-05 
233 601.947 2.34126 0.00634309 2.71072e-05 
234 604.147 2.19978 0.00637019 2.71072e-05 
235 606.367 2.22023 0.0063973 2.71072e-05 
236 608.597 2.23 0.00642441 2.71072e-05 
237 610.86 2.2627 0.00645152 2.71072e-05 
238 613.097 2.237 0.00647862 2.71072e-05 
239 615.517 2.42018 0.00650573 2.71072e-05 
240 617.832 2.31523 0.00653284 2.71072e-05 
241 620.24 2.40807 0.00655994 2.71072e-05 
242 622.593 2.35311 0.00658705 2.71072e-05 
243 624.959 2.36559 0.00661416 2.71072e-05 
244 627.36 2.40138 0.00664127 2.71072e-05 
245 629.775 2.41488 0.00666837 2.71072e-05 
246 632.366 2.59142 0.00669548 2.71072e-05 
247 634.598 2.23142 0.00672259 2.71072e-05 
248 636.893 2.29542 0.0067497 2.71072e-05 
249 639.182 2.28889 0.0067768 2.71072e-05 
250 641.454 2.27237 0.00680391 2.71072e-05 
251 643.744 2.29013 0.00683102 2.71072e-05 
252 646.005 2.26065 0.00685812 2.71072e-05 
253 648.239 2.2339 0.00688523 2.71072e-05 
254 650.457 2.21819 0.00691234 2.71072e-05 
255 652.676 2.21942 0.00693945 2.71072e-05 
256 654.954 2.27797 0.00696655 2.71072e-05 
257 657.22 2.26527 0.00699366 2.71072e-05 
258 659.512 2.29276 0.00702077 2.71072e-05 
259 661.75 2.23733 0.00704787 2.71072e-05 
260 663.997 2.24756 0.00707498 2.71072e-05 
261 666.191 2.19371 0.00710209 2.71072e-05 
262 668.428 2.23713 0.0071292 2.71072e-05 
263 670.661 2.23345 0.0071563 2.71072e-05 
264 672.976 2.31412 0.00718341 2.71072e-05 
265 675.311 2.33521 0.00721052 2.71072e-05 
266 677.518 2.20685 0.00723763 2.71072e-05 
267 679.968 2.45063 0.00726473 2.71072e-05 
268 682.226 2.25764 0.00729184 2.71072e-05 
269 684.517 2.29162 0.00731895 2.71072e-05 
270 686.949 2.4315 0.00734605 2.71072e-05 
271 689.259 2.3101 0.00737316 2.71072e-05 
272 691.638 2.37885 0.00740027 2.71072e-05 
273 693.899 2.26172 0.00742738 2.71072e-05 
274 696.149 2.24964 0.00745448 2.71072e-05 
275 698.42 2.27056 0.00748159 2.71072e-05 
276 700.753 2.33323 0.0075087 2.71072e-05 
277 703.047 2.29445 0.0075358 2.71072e-05 
278 705.321 2.27338 0.00756291 2.71072e-05 
279 707.536 2.21566 0.00759002 2.71072e-05 
280 709.743 2.20718 0.00761713 2.71072e-05 
281 711.935 2.19175 0.00764423 2.71072e-05 
282 714.142 2.20701 0.00767134 2.71072e-05 
283 716.526 2.38359 0.00769845 2.71072e-05 
284 718.829 2.30328 0.00772555 2.71072e-05 
285 721.143 2.31449 0.00775266 2.71072e-05 
286 723.39 2.24703 0.00777977 2.71072e-05 
287 725.605 2.21497 0.00780688 2.71072e-05 
288 727.836 2.23068 0.00783398 2.71072e-05 
289 730.055 2.21891 0.00786109 2.71072e-05 
290 732.329 2.27447 0.0078882 2.71072e-05 
291 734.54 2.21077 0.00791531 2.71072e-05 
292 736.858 2.31843 0.00794241 2.71072e-05 
293 739.317 2.45827 0.00796952 2.71072e-05 
294 741.832 2.51526 0.00799663 2.71072e-05 
295 744.351 2.51901 0.00802373 2.71072e-05 
296 747.055 2.70434 0.00805084 2.71072e-05 
297 749.63 2.57488 0.00807795 2.71072e-05 
298 752.113 2.48259 0.00810506 2.71072e-05 
299 754.881 2.76804 0.00813216 2.71072e-05 
300 758.078 3.19717 0.00815927 2.71072e-05 
301 760.358 2.27989 0.00818638 2.71072e-05 
302 762.752 2.39422 0.00821348 2.71072e-05 
303 765.116 2.36451 0.00824059 2.71072e-05 
304 767.489 2.3727 0.0082677 2.71072e-05 
305 769.808 2.31875 0.00829481 2.71072e-05 
306 772.287 2.47918 0.00832191 2.71072e-05 
307 774.725 2.43829 0.00834902 2.71072e-05 
308 777.099 2.37412 0.00837613 2.71072e-05 
309 779.534 2.43443 0.00840324 2.71072e-05 
310 781.965 2.43094 0.00843034 2.71072e-05 
311 784.219 2.25487 0.00845745 2.71072e-05 
312 786.656 2.43643 0.00848456 2.71072e-05 
313 788.95 2.29442 0.00851166 2.71072e-05 
314 791.177 2.22632 0.00853877 2.71072e-05 
315 793.474 2.29781 0.00856588 2.71072e-05 
316 795.725 2.25093 0.00859299 2.71072e-05 
317 797.935 2.20963 0.00862009 2.71072e-05 
318 800.152 2.21694 0.0086472 2.71072e-05 
319 802.415 2.26278 0.00867431 2.71072e-05 
320 804.698 2.28347 0.00870141 2.71072e-05 
321 807.134 2.4365 0.00872852 2.71072e-05 
322 809.317 2.18225 0.00875563 2.71072e-05 
323 811.481 2.16395 0.00878274 2.71072e-05 
324 813.68 2.19943 0.00880984 2.71072e-05 
325 815.875 2.19489 0.00883695 2.71072e-05 
326 818.068 2.19344 0.00886406 2.71072e-05 
327 820.177 2.10889 0.00889116 2.71072e-05 
328 822.299 2.12204 0.00891827 2.71072e-05 
329 824.396 2.09642 0.00894538 2.71072e-05 
330 826.524 2.12886 0.00897249 2.71072e-05 
331 828.632 2.10714 0.00899959 2.71072e-05 
332 830.82 2.1882 0.0090267 2.71072e-05 
333 833.088 2.26867 0.00905381 2.71072e-05 
334 835.322 2.23389 0.00908092 2.71072e-05 
335 837.57 2.24752 0.00910802 2.71072e-05 
336 839.778 2.20835 0.00913513 2.71072e-05 
337 842.045 2.26743 0.00916224 2.71072e-05 
338 844.291 2.24576 0.00918934 2.71072e-05 
339 846.503 2.2115 0.00921645 2.71072e-05 
340 848.761 2.25842 0.00924356 2.71072e-05 
341 851.047 2.28572 0.00927067 2.71072e-05 
342 853.433 2.38647 0.00929777 2.71072e-05 
343 855.665 2.2323 0.00932488 2.71072e-05 
344 857.909 2.24324 0.00935199 2.71072e-05 
345 860.117 2.20863 0.00937909 2.71072e-05 
346 862.329 2.21127 0.0094062 2.71072e-05 
347 864.547 2.21822 0.00943331 2.71072e-05 
348 866.955 2.40801 0.00946042 2.71072e-05 
349 869.287 2.33209 0.00948752 2.71072e-05 
350 871.638 2.35147 0.00951463 2.71072e-05 
351 873.977 2.33867 0.00954174 2.71072e-05 
352 876.215 2.23842 0.00956885 2.71072e-05 
353 878.519 2.30333 0.00959595 2.71072e-05 
354 880.838 2.31933 0.00962306 2.71072e-05 
355 883.113 2.27508 0.00965017 2.71072e-05 
356 885.376 2.26269 0.00967727 2.71072e-05 
357 887.593 2.2171 0.00970438 2.71072e-05 
358 889.804 2.21149 0.00973149 2.71072e-05 
359 892.001 2.197 0.0097586 2.71072e-05 
360 894.258 2.25695 0.0097857 2.71072e-05 
361 896.49 2.23152 0.00981281 2.71072e-05 
362 898.721 2.23149 0.00983992 2.71072e-05 
363 900.955 2.23416 0.00986702 2.71072e-05 
364 903.24 2.28474 0.00989413 2.71072e-05 
365 905.441 2.20152 0.00992124 2.71072e-05 
366 907.649 2.20751 0.00994835 2.71072e-05 
367 909.913 2.26393 0.00997545 2.71072e-05 
368 912.344 2.4308 0.0100026 2.71072e-05 
369 914.683 2.33938 0.0100297 2.71072e-05 
370 917.311 2.62822 0.0100568 2.71072e-05 
371 919.949 2.63827 0.0100839 2.71072e-05 
372 922.172 2.22297 0.010111 2.71072e-05 
373 924.408 2.23548 0.0101381 2.71072e-05 
374 926.72 2.31259 0.0101652 2.71072e-05 
375 929.037 2.3163 0.0101923 2.71072e-05 
376 931.338 2.30156 0.0102194 2.71072e-05 
377 933.825 2.48657 0.0102465 2.71072e-05 
378 936.346 2.52163 0.0102736 2.71072e-05 
379 939.198 2.8521 0.0103007 2.71072e-05 
380 941.855 2.65675 0.0103278 2.71072e-05 
381 944.162 2.30707 0.010355 2.71072e-05 
382 946.448 2.28604 0.0103821 2.71072e-05 
383 948.707 2.25934 0.0104092 2.71072e-05 
384 950.989 2.28198 0.0104363 2.71072e-05 
385 953.215 2.22522 0.0104634 2.71072e-05 
386 955.425 2.20989 0.0104905 2.71072e-05 
387 957.618 2.19367 0.0105176 2.71072e-05 
388 960.538 2.91973 0.0105447 2.71072e-05 
389 962.804 2.26634 0.0105718 2.71072e-05 
390 965.034 2.22984 0.0105989 2.71072e-05 
391 967.244 2.20983 0.010626 2.71072e-05 
392 969.434 2.19036 0.0106531 2.71072e-05 
393 971.763 2.32865 0.0106802 2.71072e-05 
394 974.04 2.27776 0.0107073 2.71072e-05 
395 976.311 2.27052 0.0107345 2.71072e-05 
396 978.621 2.31055 0.0107616 2.71072e-05 
397 980.914 2.29263 0.0107887 2.71072e-05 
398 983.2 2.28631 0.0108158 2.71072e-05 
399 985.724 2.52328 0.0108429 2.71072e-05 
